member_sha256,occurrence_count,member_bytes,disposition,catalog_item_ids
00f0cbe8b548bfe9ed3aebd73ab76c335b2a2837d875a60f3cd5360bc0c50498,56,27782,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
01031492c3b2663a1389c81eab7c9c6ba7c8a6fa7a857f741a2201ba7d737c00,2,2749,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
0105af0458508e7df077c9b04c7a2ab042fc636d5b6106b134cf7a8e132d329a,6,1377,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
0106f1185a41ed7156042db9845cafe00e85c4846c326f66fd7f4a22df366acc,193,4091,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
01156c2c323437c32bc017548ea93aa4418583306fa6ca5c7f190fa599e4bda1,14,31,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
0117498d6a5006d0c0b59dc131a36480860de391709ddf978805f9605769621e,4,31,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
011b1f2e82805d4d2fa209899b1e986152343b32045e54135e3fe98188f8f1d9,2,379113,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
011f0b5e78958fd973ba95678bade0fb48a0fe53ef351a67d98e689d4586b6bd,2,6908,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
012466f806dd2efb7535523556d116f522d4edc497e26b3df4e200423c6918b2,15,596,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
0124d25dfb9f339407538e422c52ba6906b51777dc5d0946c2bce59edb1646a9,2,181,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
0134ae30dfd0a24a57b8e5d4b4c1ccc6f17a959156c4919f39c9e24b200bf40c,2,538,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
0139d3ef3fdda33ba1ced1849285af7144d3b2f21e0dc520a64fe3a56152ad1a,2,10096,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
013ab2aff91e74ac628daada7e22dd438faab247105d9cb4d0867942d32b0e16,2,374,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
013c3490423a78c69214daf25fe997a97e5ee13b67758a2f8f2256cc110f887d,4,232,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
014334808205b31b262b1689a79f907abd000c223621c20d3e039a27eccb3207,30,31,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
014a1e82a97b6376baebe772b057cea55e5b07604849030ea8d03ddf368326f5,2,738,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
01549f5afb276d1961e0a3fd13b2b4665b9ea37bc31dd10e47a606da7d5c54e3,15,510,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
016066ee2a4ec0d733ea31939d12988dab99409b4fd7193aa514fb5cc16c8838,2,113,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
016bf4b162cffbe6457eaef7caabac9818c4c3340b89955d11e1829e418a97ae,1,1731,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
017b0dfd44f874fcb58748a86354684adb817579e8325f75578535a636314c19,3,4178,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
