member_sha256,occurrence_count,member_bytes,disposition
0f7716d1f71d310b0d8bb42f839a6386baac30dfe8b2c7668127731e4204d8c9,3,805,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
10d18e9ac2421fb390d94be93000d5b8d001fb823b662273edad94ccc12f26fd,1,4412,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
1220cead40a26e2f3dcf28eefa113468c896ea0736cfc968332044e19a92d770,1,1040,EXACT_PUBLIC_BYTES_PRESENT
122823460f74ed9f819af767c13ee5903576757260a2fe14c3b58590f9f8a53f,2,2228,EXACT_PUBLIC_BYTES_PRESENT
13f9f7fd4c638f9feb47cc5d256c2c7dcbc730aabe29db22cf2ab103a25336a8,2,1569,EXACT_PUBLIC_BYTES_PRESENT
141a3516c4d76da60032c3d17fd766ab426bc2bf1936fa978901f9cdc6a4fc2f,1,386,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
15c23e7d3eb258aaa73e7f79f354b06838824de79c9489973aad20a661b45cea,2,462,EXACT_PUBLIC_BYTES_PRESENT
1702d64f4b96665711920474c6a2c682ee69706c550f8f579007ce5783326414,1,14342,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
17ed6c842069f52d7682bd7ecde9057d861d069c40af8fce146d113b5127b84e,3,5084,PUBLIC_HASH_RECEIPTED_NO_DUPLICATE_IMPORT
183eb537beabdfeb36cd0459e1baa117de25c01fc312e67a501fa268b69f547a,1,3004,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
18b58fcc9efd610f3decb2d3746d2a93c8063afefa126443759399b46e8158cf,1,479,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
19409e995d9749c30349e32bdcc189ded50a593a7a35992621206cbe8f403352,1,1605,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
195139d63f4c78c84facd837b28d0ce0e0c90573c75162bee4448745c3147731,1,354,EXACT_PUBLIC_BYTES_PRESENT
195f49862819288e1c38bd9baf3cf1e579305ccdd834a1eae36081ba4437e0c9,1,9874,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
196900ee24cceb54d359effda6c4c8c96a9784ccbda3ba9c4d7a754d26a79218,1,607,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
1a6934fd726533e43d04d1d8783814d109e5838c1d1a5970b988993c3b9cb577,1,2428,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
