row_id,surface,kind,sha256,bytes,source_status,disposition
32,FILE_CARD,DOWNLOAD,70fe469239241b1a4fbcb12f8f8328145e51641aca0d8521b861250fb6a78174,112347,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
33,FILE_CARD,DOWNLOAD,c5b1ab8906687deac9ed4172721ec273ab5e083805e74b7ccbbb7d9b19128546,174,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
34,FILE_CARD,DOWNLOAD,73a6cf8528fd79e46c8e2b01b99c4f1839ab1431f4cf73b78ac3d95e9874cd23,151,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
35,FILE_CARD,DOWNLOAD,adb6e19efa744b081f04130e9903a55f418c9c45c6b7734702f60c254e454023,45157,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
36,FILE_CARD,DOWNLOAD,e40ac70d8433a09cfd5ee392c29391b42d1cff9dc854c9fa13cec1819fae3e5f,234,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
37,FILE_CARD,DOWNLOAD,dc95de0625bbbbd013e28735842468a7db6b6b042623b46b2976f4da5ef8c785,134,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
38,FILE_CARD,DOWNLOAD,9ed388c4d67e5e435073b3efca88478d2bf6416f18d11e8f1b3ecb39ed0aa611,163,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
39,FILE_CARD,DOWNLOAD,b706655e536764315dea33da9f9922d13afc581188155d1b0f0e7792da8efdef,147,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
40,FILE_CARD,DOWNLOAD,6094bac56ddfcf916cc39374fbf31c6def134981308e0c1e4dbeabb870836b65,20128,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
41,FILE_CARD,DOWNLOAD,225cffba4ddc79b1a466bca704d7b1323dca94cf6ea2f615b3409bf74daffdf0,4745,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
